Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
1001 QUEEN ST W,43.64303255,-79.41863921,Demolition,2009-12-02,2015-01-13,Proposal to demolish administration building. Scope does not include pedestrian bridge or underground tunnel. (Area 4065m2),Camh -Administration Building
256 CHERRY ST,43.64644624,-79.35358596,Demolition,2010-01-11,2015-08-25,"Proposal to demolish existing 1 storey building (portable, no basement).  Building is abandoned and was previously used as office/storage space.",Office/Storage
1313 LAKE SHORE BLVD E,43.661067,-79.3195348,Demolition,2010-02-08,2015-09-10,Proposal to demolish 3 existing miscellaneous buildings (6m x 3m) that are located on the top of clarifiers structure and make good of existing concrete.  Ashbridges Bay.  Convenience address -  9 Leslie Street.,Ashbridges Bay
865 YORK MILLS RD,43.7546672,-79.3501331,Demolition,2010-03-19,2015-01-28,Partial demolition of northeast corner of industrial building,Vacant Ind
211 STERLING RD,43.6558102,-79.4466674,Demolition,2010-05-10,2015-07-10,Permit to demolish existing 2 storey Toronto Hydro transformer building maintain vacant land in accordance with chapter 629-24 tmc.,Hydro Building
1871 DANFORTH AVE,43.6846214,-79.3172881,Demolition,2010-06-10,2015-08-24,Proposal to demolish existing funeral home. See permit 10-129099.,Funeral Home
3395 ST CLAIR AVE E,43.7131216,-79.2755826,Demolition,2010-07-08,2015-10-19,Demolish 1 portable,Elementary School
48 ABELL ST,43.6418228,-79.4238789,Demolition,2010-07-12,2015-05-20,"Demolition, soils restoration",Industrial
230 MORNINGSIDE AVE,43.76708275,-79.18683111,Demolition,2010-07-15,2015-04-16,To demolish one (1) existing portable,School (A)
4115 SHEPPARD AVE E,43.784229,-79.2832419,Demolition,2010-10-07,2015-08-25,Demolition of vacant non residential building,Vacant; No Use
0 PHARMACY AVE,43.7964438,-79.327233,Demolition,2010-10-27,2015-10-16,To demolish existing electrical substation,Electrical Substation
53 GRANGE AVE,43.65211688,-79.39591888,Demolition,2010-11-04,2015-06-22,"Demolition permit for existing dwelling
Permit to construct new 3 storey plus basement dwelling with 2 units.Basement used as storage, ground floor Unit 1, second and thrid floor unit 2.  See 09 153466 ZPR for PPR and 10 119011 MV for C of A.",Dwelling
25 FONTENAY CRT,43.682551,-79.51117239,Demolition,2010-11-16,2015-02-10,"Proposed demolition of north and west buildings of existing retail plaza, with the east building (supermarket) and basement to remain.",Retail
2 LISGAR ST,43.6413601,-79.4230117,Demolition,2011-03-04,2015-09-03,Proposal to demolish 1 & 2 sty warehouse building.  2 & 6 LISGAR ST.,Wholesale Grocery Warehouse
8 GLADSTONE AVE,43.6428813,-79.4274732,Demolition,2011-05-30,2015-06-27,"Proposal to demolish existing mixed use building (art studio @ rear, three residential dwelling units) for future development. Convenience address is 10 Gladstone Ave.",Mixed Use Building
146 BROADVIEW AVE,43.66000955,-79.35050615,Demolition,2011-06-10,2015-07-07,"This is for the demolition of this building (commercial use/repair garage - no residential component)  to make way for a new development of 63 stacked townhouses.
Environmental review fee includes 150 Broadview demolition.",Repair Garage
