Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
61 FAIRFAX CRES,43.715962,-79.2850247,Demolition,2015-04-24,2015-08-11,Proposed demolition of an existing 2 storey long term care facility   ,Long Term Care Facility    
14 TRENT AVE,43.6882653,-79.2956938,Demolition,2015-04-27,2015-07-14,Proposal to demolish the existing 1 storey warehouse building.  Vacant lot not to be used as a commercial parking lot.,Wharehouse
3379 BAYVIEW AVE,43.7990648,-79.3949632,Demolition,2015-05-01,2015-07-27,Demolish stand alone leased buildings - 1 storey portables and 1 storey cafeteria building,High School School
527 COLDSTREAM AVE,43.7144465,-79.4310889,Demolition,2015-06-04,2015-07-31,Demo 2 storey house (99m2),Sdf-Detached
631 BRIAR HILL AVE,43.70847765,-79.42402284,Demolition,2015-06-16,2015-08-28,demolish existing house,House
16 CHIPSTEAD RD,43.74892646,-79.37132176,Demolition,2015-07-05,2015-12-08,Demolish existing 2 storey house,House
330 PRINCESS AVE,43.77234107,-79.39512957,Demolition,2015-07-09,2015-12-16,demolish existing bungalow,House
489 PARKSIDE DR,43.65324335,-79.45921825,Demolition,2015-07-21,2015-11-17,Proposal to demolish existing 2 storey duplex and construct new 3 storey 4 unit dwelling with rear parking.,Duplex
663 KINGSTON RD,43.6788214,-79.2976753,Demolition,2015-07-30,2015-12-15,Proposal to demolish existing 1 storey sales centre.,Sales Centre
8 DOWRY ST,43.78512,-79.2843362,Demolition,2015-07-31,2015-12-16,Proposed demolition for hotel.,Hotel
220 MCRAE DR,43.7088443,-79.3653425,Demolition,2015-09-08,2015-10-20,Proposal to demolish one storey public garage,Public Garage
1128 YONGE ST,43.6792251,-79.3906428,Demolition,2015-10-01,2015-11-04,Proposal to demolish existing 1 storey car repair/detail shop.,Car Repair/Detail
16 HADDINGTON AVE,43.73630771,-79.4144028,Demolition,2015-10-06,2015-12-01,demolish existing house,House
25 BYNG AVE,43.72666574,-79.54932798,Demolition,1994-10-18,2015-10-16,1000 SQ FT,
405 DOUGLAS AVE,43.72260805,-79.42110986,Demolition,1995-05-08,2015-10-05,DEMO GARAGE,
75 SCARSDALE RD,43.749914,-79.3540423,Demolition,1995-12-14,2015-03-12,DEMO,
67 SCARSDALE RD,43.74896415,-79.35372938,Demolition,1995-12-14,2015-03-12,DEMO,
66 JOICEY BLVD,43.73571654,-79.41069986,Demolition,2000-06-21,2016-06-07,demolish carport only of an existing single family dwelling.,
28 ESGORE DR,43.7355767,-79.41519895,Demolition,2000-07-14,2016-06-08,DEMO  DETACHED GARAGE LOCATED IN REAR OF AN EXISITNG SINGLE FAMILY DWELLING.,
27 CLARK ST,43.66027423,-79.34762194,Demolition,2001-02-21,2016-12-22,"demolish 2 storey semi-detached house under section 146-16 of the municipal code.
related to bp#01-112019",
296 MAPLEHURST AVE,43.7653759,-79.39770238,Demolition,2001-03-02,2016-06-07,DEMOLISHING A ONE AND HALF STOREY DWELLING,
8 ST MARGARETS DR,43.7399391,-79.3959984,Demolition,2001-07-05,2016-06-07,TO DEMOLISH THE EXISTING TWO STOREY DWELLING.,
29 BYNG AVE,43.72686177,-79.54907725,Demolition,2002-03-22,2016-06-07,TO DEMOLISH THE EXISTING DWELLING TO FACILITATE SERVICE ROAD CONSTRUCTION BY THE CITY.,
97 CODSELL AVE,43.75666807,-79.44528727,Demolition,2002-04-19,2016-06-07,TO DEMOLISH THE EXISTING DWELLING ON THE ABOVE NOTED PROPERTY.,
80 SUTHERLAND DR,43.70073193,-79.36674988,Demolition,2002-06-13,2016-06-07,demolish garage,
110 SNOWDON AVE,43.73199877,-79.39990549,Demolition,2002-12-19,2016-06-07,Demolish detached house under Chapter 146 of Municipal Code related to replacement BP 02 197007,
527 OLD ORCHARD GRV,43.73199877,-79.39990549,Demolition,2003-01-27,2016-06-07,PROPOSED TO DEMO DETACHED GARAGE IN THE REAR OF DWELLING.,
1022 SHEPPARD AVE W,43.75084926,-79.46117706,Demolition,2003-06-18,2016-06-07,Demolition of one storey SFD.,
1020 SHEPPARD AVE W,43.7511599,-79.4607784,Demolition,2003-06-18,2016-06-07,Demolition of one storey SFD.,
202 BESSBOROUGH DR,43.70674846,-79.37114996,Demolition,2003-07-04,2016-12-15,"DEMOLISH EXISTING HOUSE
BLD 03-152095",
565 DUPLEX AVE,43.711688,-79.4011031,Demolition,2003-12-02,2016-06-08,Demolish existing 1.5-storey detached house under section 146 of the municipal code.  No replacement structure.  Refer to #03-195538 SA.,
280 KING ST E,43.6520723,-79.3657481,Demolition,2003-12-05,2016-12-22,Demolish one storey bld,
11 ONTARIO ST,43.651918,-79.366014,Demolition,2003-12-05,2016-12-22,demolish 3 storey sales office /showroom,
193 INDIAN RD,43.64756695,-79.45409824,Demolition,2003-12-16,2016-11-29,Demolish existing detached garage at the rear and maintain parking pad.  Existing:  detached garage.  Proposed:  parking pad.,
32 ISABELLA ST,43.66796236,-79.38417564,Demolition,2003-12-18,2016-12-23,"Demolition of #32 Isabella St. for the construction of a new Head office of the children's aid society.
reference BP#03-201771",
14 LOYALIST RD,43.65197076,-79.52180604,Demolition,2004-01-07,2016-12-28,Demolish SFD and all accessory structures,
20 BEAUCOURT RD,43.63371186,-79.49838287,Demolition,2004-02-03,2016-12-16,Demolish exist. 1 storey detached SFD.,
1095 DON MILLS RD,43.7368144,-79.3428913,Demolition,2004-02-06,2016-06-08,Demolition of kiosk and canopy.,
34 HOLMES AVE,43.77832804,-79.41215896,Demolition,2004-03-01,2016-06-08,Demolition of SFD for new Road,
21 GREENVIEW AVE,43.78001206,-79.41858768,Demolition,2004-03-25,2016-06-08,To demolish a SFD approx 160 meter sq.,
338 BYNG AVE,43.78165349,-79.39315679,Demolition,2004-04-14,2016-12-16,,
1051 SPADINA RD,43.70433454,-79.41862166,Demolition,2004-04-22,2016-06-08,Proposed demolition of ex. woodframe detached garage,
44 PARKVIEW AVE,43.77162004,-79.4108002,Demolition,2004-05-04,2016-06-08,Demolish house.,
2 MAY TREE RD,43.7407613,-79.3943003,Demolition,2004-05-05,2016-06-08,Demolish house,
229 CHAMBERS AVE,43.68308968,-79.46563923,Demolition,2004-05-21,2016-12-16,Demolition of an existing home.,
85 FINCH AVE E,43.7932076,-79.3312446,Demolition,2004-05-27,2016-06-08,Demolition the existing dwelling,
205 WICKSTEED AVE,43.7127082,-79.3506462,Demolition,2004-06-01,2016-06-08,DEMOLISH VACANT INDUSTRIAL BUILDING.,
1 CONCORDE GT,43.728687,-79.32950752,Demolition,2004-06-01,2016-06-08,,
181 GLENCAIRN AVE,43.71643601,-79.40954176,Demolition,2004-06-02,2016-06-08,Demolition existing house.,
3105 DON MILLS RD,43.78996425,-79.35321487,Demolition,2004-07-06,2016-06-08,Demolish one portable.,
207 RANDOLPH RD,43.70916497,-79.36420523,Demolition,2004-07-12,2016-06-08,Demolish 1 storey detached house,
209 RANDOLPH RD,43.7092508,-79.3642406,Demolition,2004-07-12,2016-06-08,DEMOLISH 1 STOREY DETACHED HOUSE,
241 MCRAE DR,43.7037569,-79.3681106,Demolition,2004-07-12,2016-06-08,DEMOLISH 2 STOREY OFFICE BUILDING,
30 HAVERSON BLVD,43.6874498,-79.4654296,Demolition,2004-07-14,2016-12-21,Demolition of Ex. SFD bungalow,
174 BURNHAMTHORPE RD,43.6506543,-79.5376873,Demolition,2004-07-16,2016-12-15,,
441 DUPLEX AVE,43.7158484,-79.4027391,Demolition,2004-07-28,2016-06-08,,
439 DUPLEX AVE,43.7158484,-79.4027391,Demolition,2004-07-28,2016-06-08,,
512 FAIRLAWN AVE,43.72620785,-79.42593092,Demolition,2004-08-06,2016-06-08,demolish 1.5 storey detached house.,
2607 YONGE ST,43.71471352,-79.39986902,Demolition,2004-08-09,2016-06-08,To demolish the existing detached garage in the rear.,
1328 WILSON AVE,43.7235545,-79.49648118,Demolition,2004-08-10,2016-06-08,,
1326 WILSON AVE,43.7235776,-79.49637845,Demolition,2004-08-10,2016-06-08,,
328 EUCLID AVE,43.65437881,-79.41098003,Demolition,2004-08-25,2016-07-25,Demolition of sfd (vacant) res. bldg.  BP#04-168089 submitted  Aug 23/04,
89 THE BRIDLE PATH,43.73203532,-79.36274649,Demolition,2004-09-08,2016-06-08,,
150 DIVADALE DR,43.71547817,-79.36517207,Demolition,2004-11-01,2016-06-08,Demolition92.9m2.,
1503 BAYVIEW AVE,43.70388426,-79.37426984,Demolition,2004-11-05,2016-06-08,Demolition of existing 2 storey building to put new surface parking lot.,
46 WELLESLEY ST E,43.665529,-79.382207,Demolition,2004-11-26,2016-07-25,"Demolish detached office building. (4 storey & bsmt.)
Existing Use:  Office Bldg.
Proposed Use:  Vacant Land",
564 OLD ORCHARD GRV,43.665529,-79.382207,Demolition,2005-02-01,2016-06-08,Demolition of single family dwelling.,
63 HILLHOLM RD,43.69713815,-79.41159075,Demolition,2005-03-15,2016-07-25,Demolish SFD-detached in connection with BP# 05-115409 Note;C of A Letter #A0335/04T,
266 DALESFORD RD,43.62634369,-79.49194303,Demolition,2005-05-05,2016-12-16,Demolition of existing vacant industrial public garage building.,
33 VESTA DR,43.6925316,-79.41676802,Demolition,2005-06-01,2016-09-12,Demolish existing 2 storey dwelling,
800 KIPLING AVE,43.6285564,-79.5305067,Demolition,2005-07-14,2016-12-19,demolish and removal of one storey warehouse,Industrial
35 HEATHER RD,43.78972327,-79.27309942,Demolition,2005-07-28,2016-06-08,Demolition of old shed at rear mid point of property int rear dwelling.10 x 15.,Shed
143 JOHNSTON AVE,43.75753586,-79.41703816,Demolition,2005-09-09,2016-06-08,,Res
922 SHEPPARD AVE W,43.7515432,-79.4585041,Demolition,2005-09-21,2016-06-08,,Res
3526 LAKE SHORE BLVD W,43.5948662,-79.5323861,Demolition,2005-10-03,2016-12-22,Demolition of an accessory structure (kiosk for used car sales) at an existing automobile dealership.,Car Sales
72 HART AVE,43.72339025,-79.26113427,Demolition,2005-11-16,2016-12-07,demolish existing bungalow,House
3415-3499 WESTON RD,43.72339025,-79.26113427,Demolition,2006-01-10,2016-10-05,"Permit was to Demolish 5,950 sq. m of a commercial building and 5,574 sq. m to remain.  PERMIT NOW TO DEMO 2 ENTIRE BUILDINGS",Vacant Retail Plaza
3211 DUFFERIN ST,43.71870701,-79.45559263,Demolition,2006-03-28,2016-06-08,,Gas Station
2660 YONGE ST,43.73864679,-79.40225724,Demolition,2006-08-31,2016-06-08,demolish 2 storey retail store and office building.    see bp#05-167025,Retail Store & Office Building
99 VANDERHOOF AVE,43.7117716,-79.3638185,Demolition,2006-10-06,2016-06-08,Demolish existing office/warehouse (13075m3),Office / Warehouse
70 WICKSTEED AVE,43.71104475,-79.3610659,Demolition,2006-10-06,2016-06-08,Demolish existing office / warehouse (1579m2),Office/Warehouse
19 A PRIVET RD,43.72181244,-79.4988479,Demolition,2007-04-27,2016-06-08,Detached single garage,Detached Garage
5575 YONGE ST,43.7792325,-79.4150403,Demolition,2007-05-28,2016-06-08,demolish 1.5 storey sales office.,Office
3737 LAKE SHORE BLVD W,43.5928345,-79.5398864,Demolition,2007-07-03,2016-12-22,Demolition of a 2-storey mixed-use building damaged by fire (see 07-113673 FDA). The building consists of commercial on ground floor and one residential unit on second.,Mixed-Use C/R
3 OAKBURN CRES,43.75847853,-79.40595531,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
4 OAKBURN CRES,43.7584499,-79.40537,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
6 OAKBURN CRES,43.7585672,-79.404572,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
8 OAKBURN CRES,43.7585929,-79.404456,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
10 OAKBURN CRES,43.7588081,-79.40370426,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
11 OAKBURN CRES,43.75891199,-79.4032594,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
12 OAKBURN CRES,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-08,Demolition of rental apartment building with accessory structure garage.,Rental Apartment Building
16 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-08,"Demolition of rental apartment building with accessory structure garage.
enviromnental assessment in lead permit  n.r.",Rental Apartment Building
20 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
24 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
28 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
32 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
36 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
40 OAKBURN PL,43.7594502,-79.4035824,Demolition,2007-10-01,2016-06-09,"Demolition of rental apartment building with accessory structure garage.
environmental assessment in lead permit  n.r.",Rental Apartment Building
5700 YONGE ST,43.7808689,-79.4161676,Demolition,2007-12-14,2016-06-10,interior partitions on the 11th floor,Off
830 LANSDOWNE AVE,43.6668547,-79.4466962,Demolition,2008-01-07,2016-10-24,"To demolish buildings 1, 1A, 2, 3, 4, 5, 6, 7, and 8",Warehouse/Office
4600 DUNDAS ST W,43.6567462,-79.5215393,Demolition,2008-03-17,2016-12-20,"To demolish a two storey rectory building that serves ""St Georges on the Hill Church""",Rectory
610 RODING ST,43.7304507,-79.4927807,Demolition,2008-05-01,2016-04-06,Demolish existing portable building,Elem School
2275 BAYVIEW AVE,43.726799,-79.381443,Demolition,2008-06-27,2016-06-09,"Demolition of existing greenhouse 103A, 103B, 103C, and 103D attached to the Parking and Security Building - York University Glendon Campus",Greenhouse
2075 BAYVIEW AVE,43.72285855,-79.3756614,Demolition,2008-07-18,2016-06-09,Demolition of canopy by emergency department to sunnybrook heath sciences centre.,Hospital
610 RODING ST,43.7304507,-79.4927807,Demolition,2008-07-31,2016-04-06,Demolish two existing portable buildings,Elem School
1745 AVENUE RD,43.7288017,-79.418042,Demolition,2008-08-13,2016-06-09,Two storey retail (Booster Juice) and residential unit building,Retail
33 MEMORY GARDENS LANE,43.8064094,-79.3541291,Demolition,2008-09-23,2016-06-09,Demolishing of a crematorium,Crematorium
322 RICHMOND ST W,43.64886885,-79.3923674,Demolition,2008-11-12,2016-08-02,permit to demolish existing mixed use building - to be reviewed with 08-220929 DEM,Mixed Use Building
2219 GERRARD ST E,43.68402126,-79.29913716,Demolition,2008-11-21,2016-10-04,Permit for demolition of existing mixed use commercial residential building - In association with 08 168590 BLD,Mixed Use Commercial Residential
1099-1115 WILSON AVE,43.68402126,-79.29913716,Demolition,2009-03-10,2016-06-23,Demolish interior alteration to a dollar store and a bank,"Retail,Bank"
60 PLAYFAIR AVE,43.71044815,-79.45810819,Demolition,2009-05-22,2016-06-30,Demolish 19 portables,Secondary School
3370 YONGE ST,43.73228848,-79.40424346,Demolition,2009-08-10,2016-10-20,,Ret
3368 YONGE ST,43.73225917,-79.40423712,Demolition,2009-08-10,2016-06-30,,Ret
3364 YONGE ST,43.73220056,-79.40422445,Demolition,2009-08-10,2016-10-21,,Ret
3366 YONGE ST,43.732228,-79.404397,Demolition,2009-08-10,2016-06-30,,Ret
67 POTTERY RD,43.6861518,-79.3602541,Demolition,2009-08-19,2016-05-03,Demolish two structures to facilitate construction of new driveway and expanded parking facility.  Part of Site Plan Application # 08219243.  Redundant washroom bldg and Storage shed.,Museum
1678 JANE ST,43.70250117,-79.50389216,Demolition,2009-10-06,2016-12-21,Proposed demolition of existing mixed-use structure.  Site will be backfilled and sodded to grade level.,Mixed Use Commercial
50 MICHAEL POWER PL,43.6450248,-79.5318492,Demolition,2009-10-27,2016-12-30,Proposed demolition of existing sales office.,Sales Office
32 GLENDORA AVE,43.7596732,-79.4086245,Demolition,2009-11-16,2016-07-04,Sales pavillion,Office
3105 DON MILLS RD,43.78996425,-79.35321487,Demolition,2009-11-18,2016-07-04,Demolish one portable.,School
1527 VICTORIA PARK AVE,43.7267455,-79.302377,Demolition,2009-12-18,2016-12-13,Demolision - interior work.,E
760 THE QUEENSWAY,43.6258498,-79.5053387,Demolition,2010-02-16,2016-11-14,Demolition of former retail petroleum facility due to fire,Gas Station
150 NORSEMAN ST,43.6340171,-79.5208834,Demolition,2010-02-18,2016-12-30,Proposal to demolish exisiting rear (1) storey pre-fabricated storage building to allow for required parking for veterinary clinic within existing building on same lot fronting onto Norseman Street.  Refer to application 10 108573 BLD.,Storage Building
26 ERSKINE AVE,43.7113366,-79.39846552,Demolition,2010-03-25,2016-04-05,Demolish two storey office building,Office
18 ERSKINE AVE,43.7112894,-79.39869768,Demolition,2010-03-25,2016-04-05,Demolish two storey office building,Office
764 SHEPPARD AVE W,43.753677,-79.4479367,Demolition,2010-03-26,2016-07-04,One storey Place of Worship,Place Of Worship
118 THE ESPLANADE,43.648092,-79.371835,Demolition,2010-05-31,2016-01-25,Demolition permit for existing one storey automotive service garage.  Permit to be tied into project on 87 Front st East.,Automotive Repair Garage
15 TOBERMORY DR,43.76008725,-79.50774967,Demolition,2010-06-16,2016-07-05,Demolition of outside swimming pool for metro housing., Apartment/ Metro Housing
252 ROYWOOD DR,43.76229077,-79.33497756,Demolition,2010-06-16,2016-07-05,Demolition of outside swimming pool for metro housing., Apartment/ Metro Housing
70 WYNFORD DR,43.7254919,-79.3352191,Demolition,2010-06-17,2016-07-05,Demolition of office / warehouse.,Office / Warehouse
1865 SHEPPARD AVE W,43.7409824,-79.5031573,Demolition,2010-07-07,2016-07-05,Portalble - St Martha ,Elementary School
125 GLENMOUNT AVE,43.71642115,-79.43130337,Demolition,2010-07-07,2016-07-05,Portalble - OLO Assumption ,Elementary School
3379 BAYVIEW AVE,43.7990648,-79.3949632,Demolition,2010-07-07,2016-07-05,Two Portalbles - St Joseph Morrow Park,Elementary School
18 KEMPFORD BLVD,43.7771035,-79.41680084,Demolition,2010-08-06,2016-07-05,Demolition of one portable classroom for St. Cyril Elementary School.,Elementary School
21 EDDFIELD AVE,43.7602463,-79.4282125,Demolition,2010-08-06,2016-07-05,Demolition of one portable classroom for St. Cyril Elementary School.,Elementary School
2701 KEELE ST,43.72461168,-79.48132637,Demolition,2010-08-18,2016-07-05,Canadian Tire Gas station canopy and kiosk,Canadian Tire Gas Bar & Kiosk
4925 DUFFERIN ST,43.7837124,-79.4699604,Demolition,2010-09-13,2016-07-05,"Demolition of existing storange tank, garage and one storey addition for University of Toronto Institute of Aerospace Studies Microsatellite Science and Technology Centre.",University
1400 AVENUE RD,43.7183025,-79.4147898,Demolition,2010-09-24,2016-07-05,Demolition of TTC waiting shelter and washroom for future park development,Ttc Waiting Shelter/Washroom
39 HAYDEN ST,43.669768,-79.384131,Demolition,2010-10-26,2016-06-29,demolition permit for existing 3 storey office building.,Office
755 MILLWOOD RD,43.704611,-79.3723558,Demolition,2010-10-26,2016-07-05,Demolish detached garage at rear,Detached Garage
197 CARIBOU RD,43.71765594,-79.42882122,Demolition,2010-11-16,2016-07-05,Demolish existing anglican church,Place Of Worship
2489 BAYVIEW AVE,43.7422246,-79.3828511,Demolition,2010-11-23,2016-07-05,"Demolition of pool, changerooms, pool deck structure and mechanical shed - Canadian Film Centre",Canadian Film Centre/Office & Administration
1289-1411 LAWRENCE AVE W,43.7422246,-79.3828511,Demolition,2011-01-24,2016-12-22,Demolish existing retail store *The Beer Store* and replace with  temporary parking.,Retail Store
15 ST PASCHAL CRT,43.792164,-79.43093946,Demolition,2011-02-08,2016-07-05,Demolish two portables on St. Paschal Baylon Catholic School,School Portable
373 CHURCH ST,43.66105833,-79.378892,Demolition,2011-04-26,2016-01-08,This is for the demolition of a three storey mixed use building. The ground floor is a retail use and the second and third floors are a residential use with four residential units.,Mixed Use Building
1289-1411 LAWRENCE AVE W,43.66105833,-79.378892,Demolition,2011-05-18,2016-12-22,Demolition of an existing 1 storey 160M2 building which was a restaurant.,Restaurant
396 SPRING GARDEN AVE,43.76931315,-79.39056072,Demolition,2011-05-31,2016-07-07,St. Gabriel Catholic School - Demolish portable classroom,Elementary School
200 OLD SHEPPARD AVE,43.7804636,-79.3256983,Demolition,2011-05-31,2016-07-07,St Gerald Catholic School - Demolish portable classroom,Elementary School
101 VAN HORNE AVE,43.78448535,-79.35947688,Demolition,2011-05-31,2016-07-07,St Mattias - Demolish portable classroom,Elementary School
85 LAIRD DR,43.7061053,-79.3616168,Demolition,2011-05-31,2016-07-07,Demolish underground parking garage on vacant industrial property,Ind
105 ERINGATE DR,43.6590293,-79.58151937,Demolition,2011-06-01,2016-12-22,Demolition of six (6) portable classrooms.,Secondary School
12 YORK ST,43.64162765,-79.38203987,Demolition,2011-06-03,2016-02-23,Proposal to demolish 1 storey sales office pavilion in existing commerical parking lot.  See related building permit 08 229106 TPS.,Temporary Sales Office
1075 MILLWOOD RD,43.7010227,-79.36088135,Demolition,2011-06-13,2016-07-07,Single storey office building.,Office
25 BUCHAN CRT,43.7732232,-79.3590697,Demolition,2011-07-26,2016-12-16,Demolish Sales Centre,Sales Centre
44 WOODVILLE AVE,43.6917525,-79.35290264,Demolition,2011-08-03,2016-05-30,Demolition permit for existing dwelling- see 11 250055 BLD for new dwelling,Dwelling
3 FLAMINGO CRES,43.7018454,-79.4812911,Demolition,2011-08-15,2016-12-20,Demolish existing bungalow and all accessory structures.,Bungalow
2268 LAWRENCE AVE W,43.69722813,-79.5283443,Demolition,2011-09-14,2016-12-28,Demolish existing bungalow,Bungalow
2270 LAWRENCE AVE W,43.6972056,-79.5284562,Demolition,2011-09-15,2016-12-28,Demolish existing bungalow and all accessory structures,Bungalow
2175 LAKE SHORE BLVD W,43.62390132,-79.48049055,Demolition,2011-09-27,2016-12-22,Demolish (2) vacant hotel buildings *Seabreeze Hotel*,Two Vacant Two Storey Hotels
73 FURNIVAL RD,43.7111555,-79.3019578,Demolition,2011-09-30,2016-10-27,permit to demolish existing 74.32m2 one storey dwelling. - See 11 285089 BLD and 11 285097 BLD for new building permtis,House
103 LIGHTBOURN AVE,43.6716507,-79.4433498,Demolition,2011-10-20,2016-12-28,Proposal to demolish existing one storey industrial building.,Industrial
3567 LAKE SHORE BLVD W,43.5942691,-79.5338059,Demolition,2011-10-21,2016-12-22,"To demolish an existing one storey commercial building (former TD Bank), to accommodate future re-development of residential Condominium Apartment Building with retail component.",Bank
443 DUPLEX AVE,43.7158484,-79.4027391,Demolition,2011-11-16,2016-12-19,Demolition of office building.,Office
4186 DUNDAS ST W,43.66084473,-79.51026043,Demolition,2012-01-18,2016-12-19,"Demolition of existing mixed commercial use, 3 storey building.",Commercial
4190 DUNDAS ST W,43.6607593,-79.510478,Demolition,2012-01-18,2016-12-19,"Demolition of existing mixed commercial use, 2 storey building with basement.",Commercial
588 ANNETTE ST,43.6598068,-79.48169875,Demolition,2012-02-17,2016-12-21,"Demolish (1) storey former TTC hydro substation
",Real Estate Showroom
555 WILSON AVE,43.7339383,-79.449414,Demolition,2012-02-24,2016-07-15,Two storey office building,Office
185 WILLOWDALE AVE,43.7679085,-79.4011276,Demolition,2012-03-15,2016-07-13,One storey retail concrete building,Retail Store
60 FLAMBOROUGH DR,43.70144009,-79.48002198,Demolition,2012-04-12,2016-12-20,Demo existing bungalow,Bungalow
84 TYCOS DR,43.70488121,-79.4573214,Demolition,2012-04-20,2016-07-15,One storey Ethiopian Orthodox Church of Canada,Place Of Worship
24 REAN DR,43.76740985,-79.38309628,Demolition,2012-04-24,2016-07-15,Demolish one storey sales office,Sales Office
2400 KEELE ST,43.7087707,-79.4782623,Demolition,2012-05-11,2016-12-22,"Demolish gas station canopy and kiosk and *Mr Lube* building. Remove underground piping, underground tanks and (2) waste oil tanks, and at grade dispensers. ",Gas Station
3 ELLIS AVE,43.6368194,-79.465406,Demolition,2012-05-29,2016-12-20,Demoliton of abandoned sales pavilion,Abandoned Sales Pavilion
411 ROGERS RD,43.6829204,-79.4620254,Demolition,2012-06-21,2016-12-31,Demolish existing vacant building. No other structures on the lot,Vacant Industrial Building
52 HILLDALE RD,43.67681236,-79.48220795,Demolition,2012-10-22,2016-12-21,Demolish existing bungalow and all accessory structures,Bungalow
124 BELSIZE DR,43.702285,-79.389161,Demolition,2012-11-02,2016-12-21,Proposal to demolish exisiting vacant church.,Church
311 BROCK AVE,43.6500462,-79.4354691,Demolition,2013-02-06,2016-10-25,Proposal to demolish existing place of worship (456.0m2). This is in relation to the proposal for a new townhouse development. See related 12-250430 BLD.,Place Of Worship
32-50 FOREST MANOR RD,43.77108915,-79.34421979,Demolition,2013-02-19,2016-06-27,"Demolish two storey townhouse, containing 30 dwelling units",Townhouse
332 HIGH PARK AVE,43.66494277,-79.47027108,Demolition,2013-02-20,2016-12-21,Demolition of an existing one storey (presently vacant) former Garage Repair Shop. Portion of masonry brick wall to remain for the future developmnt of 10 unit appartment building with ground floor parking garage.,Public Garage 
37 DUFFLAW RD,43.71398017,-79.46120159,Demolition,2013-02-21,2016-06-29,Demolition of two storey shed/warehouse - BlueFlame,Shed/Warehouse
24 APPLEBY RD,43.65200371,-79.54869192,Demolition,2013-04-16,2016-11-15,Demolish existing bungalow,Bungalow
5302 DUNDAS ST W,43.63645239,-79.54013858,Demolition,2013-05-01,2016-12-19,Proposal to demolish existing 3 storey commercial building.,Commercial (Retail And Offices)
1176 ROYAL YORK RD,43.6633072,-79.5186611,Demolition,2013-05-14,2016-06-01,Proposal to demolish existing duplex dwelling.,Duplex
3205 BAYVIEW AVE,43.78675625,-79.39139696,Demolition,2013-05-15,2016-06-29,Demolish one portable classroom on north east side of Blessed Trinity Catholic School. (Portable to be demolished on site and not relocated.),Elementary School /Portable
396 HOPEWELL AVE,43.7003794,-79.44428108,Demolition,2013-05-15,2016-06-29,Demolish one storey manufacturing plant ,Manufacturing
400 HOPEWELL AVE,43.70033478,-79.44448776,Demolition,2013-05-15,2016-12-09,Demolition of two storey industrial manufacturing plant,Manufacturing
1 QUEENSWAY LIONS CRT,43.6184692,-79.5281208,Demolition,2013-05-24,2016-12-30,"Demolish existing abandoned building to grade, clean up site, laying gravel with new fence to close off property. No immediate plans for construction .",Vacant Industrial Building
1451 BATHURST ST,43.6472773,-79.4040095,Demolition,2013-06-21,2016-03-11,Proposal to demolish existing 2 sty mixed use building.  Convenience address - 501 St Clair Ave W.  Also see demo for 1443 Bathurst St and active BLD for new development 13 173169.,Mixed Use Res & Non Res (7 Dwelling Units)
1289-1411 LAWRENCE AVE W,43.6472773,-79.4040095,Demolition,2013-07-05,2016-12-22,Proposal to demolish two existing masonry towers to existing strip mall,Retail Store/Masonry Towers
41 CHATSWORTH DR,43.7218215,-79.4018042,Demolition,2013-07-09,2016-11-03,Demolition of a three storey place of worship.,Place Of Worship
77 WHITBREAD CRES,43.7402422,-79.5105094,Demolition,2013-07-10,2016-06-29,"Demolish hydro transfer building for future parkland  including an amphitheater, seating areas with landscaping adjacent to the library and park entrances",Ind
